COD_REG;COD_ISTAT;PRO_COM;SEZ2011;SEZ;COD_LOC;TIPO_LOC
15.0;15064005.0;64005.0;640050000110;110.0;20011.0;2.0
15.0;15064038.0;64038.0;640380000027;27.0;10002.0;1.0
15.0;15064050.0;64050.0;640500000064;64.0;20044.0;2.0
15.0;15064050.0;64050.0;640500000070;70.0;25139.0;2.0
15.0;15064050.0;64050.0;640500000066;66.0;20047.0;2.0
15.0;15064005.0;64005.0;640050000081;81.0;40001.0;4.0
15.0;15064050.0;64050.0;640500000058;58.0;20046.0;2.0
15.0;15064005.0;64005.0;640050000253;253.0;10001.0;1.0
15.0;15064005.0;64005.0;640050000088;88.0;40001.0;4.0
15.0;15064052.0;64052.0;640520000012;12.0;20016.0;2.0
15.0;15064005.0;64005.0;640050000125;125.0;40001.0;4.0
15.0;15064005.0;64005.0;640050000097;97.0;40001.0;4.0
15.0;15064052.0;64052.0;640520000044;44.0;26619.0;2.0
15.0;15064005.0;64005.0;640050000029;29.0;40001.0;4.0
15.0;15064079.0;64079.0;640790000002;2.0;20008.0;2.0
15.0;15064092.0;64092.0;640920000105;105.0;42011.0;4.0
15.0;15064109.0;64109.0;641090000030;30.0;10001.0;1.0
15.0;15064108.0;64108.0;641080000020;20.0;40001.0;4.0
15.0;15064035.0;64035.0;640350000075;75.0;26615.0;2.0
15.0;15064035.0;64035.0;640350000043;43.0;26609.0;2.0
15.0;15064092.0;64092.0;640920000133;133.0;40001.0;4.0
15.0;15064030.0;64030.0;640300000048;48.0;30003.0;3.0
15.0;15064044.0;64044.0;640440000061;61.0;42011.0;4.0
15.0;15064063.0;64063.0;640630000037;37.0;40001.0;4.0
15.0;15064044.0;64044.0;640440000004;4.0;10001.0;1.0
15.0;15064092.0;64092.0;640920000201;201.0;40001.0;4.0
15.0;15064030.0;64030.0;640300000047;47.0;40001.0;4.0
15.0;15063050.0;63050.0;630500000310;310.0;42011.0;4.0
15.0;15064018.0;64018.0;640180000012;12.0;20005.0;2.0
15.0;15064034.0;64034.0;640340000011;11.0;26703.0;2.0
15.0;15064008.0;64008.0;640080000132;132.0;10001.0;1.0
15.0;15064008.0;64008.0;640080000005;5.0;10001.0;1.0
15.0;15064008.0;64008.0;640080000175;175.0;10001.0;1.0
15.0;15064025.0;64025.0;640250000015;15.0;10001.0;1.0
15.0;15064049.0;64049.0;640490000015;15.0;10002.0;1.0
