zona_climatica;periodo;Superficie Utile Riscaldata;Volume Lordo Riscaldato;EPgl_nren;EPgl_ren;CO2
B;kE8E9;200-500;1000-5000;130.0;20.3;26.27
B;kE8E9;200-500;5000-10000;0.0;0.0;0.0
B;kE8E9;200-500;>10000;0.0;0.0;0.0
B;kE8E9;500-1000;<50;0.0;0.0;0.0
B;kE8E9;500-1000;50-100;0.0;0.0;0.0
B;kE8E9;500-1000;100-200;0.0;0.0;0.0
B;kE8E9;500-1000;200-500;51.92;6.03;11.28
B;kE8E9;500-1000;500-1000;36.35;0.17;7.3
B;kE8E9;500-1000;1000-5000;79.2;8.6;16.56
B;kE8E9;500-1000;5000-10000;0.0;0.0;0.0
B;kE8E9;500-1000;>10000;0.0;0.0;0.0
B;kE8E9;1000-5000;<50;0.0;0.0;0.0
B;kE8E9;1000-5000;50-100;0.0;0.0;0.0
B;kE8E9;1000-5000;100-200;0.0;0.0;0.0
B;kE8E9;1000-5000;200-500;0.0;0.0;0.0
B;kE8E9;1000-5000;500-1000;0.0;0.0;0.0
B;kE8E9;1000-5000;1000-5000;0.0;0.0;0.0
B;kE8E9;1000-5000;5000-10000;0.0;0.0;0.0
B;kE8E9;1000-5000;>10000;0.0;0.0;0.0
B;kE8E9;>5000;<50;0.0;0.0;0.0
B;kE8E9;>5000;50-100;0.0;0.0;0.0
B;kE8E9;>5000;100-200;0.0;0.0;0.0
B;kE8E9;>5000;200-500;0.0;0.0;0.0
B;kE8E9;>5000;500-1000;0.0;0.0;0.0
B;kE8E9;>5000;1000-5000;0.0;0.0;0.0
B;kE8E9;>5000;5000-10000;0.0;0.0;0.0
B;kE8E9;>5000;>10000;0.0;0.0;0.0
B;kE10E11;<50;<50;0.0;0.0;0.0
B;kE10E11;<50;50-100;218.96;18.38;45.15
B;kE10E11;<50;100-200;176.19;19.04;36.21
B;kE10E11;<50;200-500;199.65;22.12;40.58
B;kE10E11;<50;500-1000;326.92;10.91;66.88
B;kE10E11;<50;1000-5000;228.59;18.33;48.45
B;kE10E11;<50;5000-10000;0.0;0.0;0.0
B;kE10E11;<50;>10000;0.0;0.0;0.0
B;kE10E11;50-100;<50;0.0;0.0;0.0
B;kE10E11;50-100;50-100;139.57;16.66;29.58
B;kE10E11;50-100;100-200;150.13;16.15;31.68
B;kE10E11;50-100;200-500;149.6;16.21;30.74
B;kE10E11;50-100;500-1000;203.88;20.83;41.71
B;kE10E11;50-100;1000-5000;328.0;9.41;67.01
B;kE10E11;50-100;5000-10000;0.0;0.0;0.0
B;kE10E11;50-100;>10000;0.0;0.0;0.0
