zona_climatica;periodo;Superficie Utile Riscaldata;Volume Lordo Riscaldato;Superficie Disperdente;EPgl_nren
B;kE12E13;100-200;500-1000;1000-5000;252.81
B;kE12E13;100-200;1000-5000;<50;66.35
B;kE12E13;100-200;1000-5000;100-200;117.08
B;kE12E13;100-200;1000-5000;200-500;157.63
B;kE12E13;100-200;1000-5000;500-1000;220.75
B;kE12E13;100-200;1000-5000;1000-5000;370.32
B;kE12E13;200-500;100-200;200-500;83.92
B;kE12E13;200-500;200-500;50-100;77.34
B;kE12E13;200-500;200-500;100-200;105.97
B;kE12E13;200-500;200-500;200-500;128.12
B;kE12E13;200-500;200-500;500-1000;100.94
B;kE12E13;200-500;500-1000;<50;74.32
B;kE12E13;200-500;500-1000;50-100;61.26
B;kE12E13;200-500;500-1000;100-200;73.31
B;kE12E13;200-500;500-1000;200-500;88.86
B;kE12E13;200-500;500-1000;500-1000;129.5
B;kE12E13;200-500;500-1000;1000-5000;199.01
B;kE12E13;200-500;1000-5000;<50;73.12
B;kE12E13;200-500;1000-5000;50-100;52.74
B;kE12E13;200-500;1000-5000;100-200;64.95
B;kE12E13;200-500;1000-5000;200-500;85.33
B;kE12E13;200-500;1000-5000;500-1000;112.52
B;kE12E13;200-500;1000-5000;1000-5000;141.48
B;kE12E13;500-1000;200-500;200-500;43.57
B;kE12E13;500-1000;500-1000;200-500;33.08
B;kE12E13;500-1000;1000-5000;<50;69.3
B;kE12E13;500-1000;1000-5000;50-100;96.88
B;kE12E13;500-1000;1000-5000;100-200;61.95
B;kE12E13;500-1000;1000-5000;200-500;43.52
B;kE12E13;500-1000;1000-5000;500-1000;71.92
B;kE12E13;500-1000;1000-5000;1000-5000;116.46
B;kE14E15;<50;50-100;<50;121.26
B;kE14E15;<50;50-100;50-100;184.27
B;kE14E15;<50;50-100;100-200;259.83
B;kE14E15;<50;50-100;200-500;402.23
B;kE14E15;<50;100-200;<50;100.74
B;kE14E15;<50;100-200;50-100;118.44
B;kE14E15;<50;100-200;100-200;170.56
B;kE14E15;<50;100-200;200-500;212.95
B;kE14E15;<50;100-200;500-1000;386.71
B;kE14E15;<50;200-500;50-100;110.0
B;kE14E15;<50;200-500;100-200;161.22
B;kE14E15;<50;200-500;200-500;245.82
B;kE14E15;<50;200-500;1000-5000;492.04
B;kE14E15;<50;500-1000;200-500;358.09
B;kE14E15;<50;500-1000;500-1000;325.51
B;kE14E15;<50;1000-5000;200-500;183.78
B;kE14E15;<50;1000-5000;500-1000;410.72
B;kE14E15;50-100;50-100;<50;96.98
B;kE14E15;50-100;50-100;100-200;81.39
B;kE14E15;50-100;50-100;200-500;152.16
B;kE14E15;50-100;100-200;<50;105.83
B;kE14E15;50-100;100-200;50-100;110.02
B;kE14E15;50-100;100-200;100-200;135.15
B;kE14E15;50-100;100-200;200-500;174.53
B;kE14E15;50-100;100-200;500-1000;295.48
B;kE14E15;50-100;100-200;1000-5000;283.48
B;kE14E15;50-100;200-500;<50;108.18
B;kE14E15;50-100;200-500;50-100;94.04
B;kE14E15;50-100;200-500;100-200;110.26
B;kE14E15;50-100;200-500;200-500;159.14
B;kE14E15;50-100;200-500;500-1000;274.61
B;kE14E15;50-100;200-500;1000-5000;442.66
B;kE14E15;50-100;500-1000;100-200;152.01
B;kE14E15;50-100;500-1000;200-500;190.04
B;kE14E15;50-100;500-1000;500-1000;256.84
B;kE14E15;50-100;1000-5000;50-100;58.31
B;kE14E15;50-100;1000-5000;200-500;162.7
B;kE14E15;50-100;1000-5000;500-1000;343.73
B;kE14E15;100-200;50-100;200-500;103.98
B;kE14E15;100-200;100-200;<50;45.15
B;kE14E15;100-200;100-200;50-100;113.21
B;kE14E15;100-200;100-200;100-200;91.66
B;kE14E15;100-200;100-200;200-500;110.61
B;kE14E15;100-200;100-200;500-1000;477.59
B;kE14E15;100-200;200-500;<50;102.87
B;kE14E15;100-200;200-500;50-100;77.9
B;kE14E15;100-200;200-500;100-200;84.9
B;kE14E15;100-200;200-500;200-500;125.92
B;kE14E15;100-200;200-500;500-1000;175.91
B;kE14E15;100-200;200-500;1000-5000;318.45
B;kE14E15;100-200;500-1000;<50;95.33
B;kE14E15;100-200;500-1000;50-100;74.52
B;kE14E15;100-200;500-1000;100-200;86.56
B;kE14E15;100-200;500-1000;200-500;109.82
B;kE14E15;100-200;500-1000;500-1000;147.7
B;kE14E15;100-200;500-1000;1000-5000;272.27
B;kE14E15;100-200;1000-5000;200-500;121.14
B;kE14E15;100-200;1000-5000;500-1000;191.83
B;kE14E15;100-200;1000-5000;1000-5000;198.88
B;kE14E15;200-500;100-200;500-1000;98.41
B;kE14E15;200-500;200-500;<50;36.49
B;kE14E15;200-500;200-500;100-200;57.27
B;kE14E15;200-500;200-500;200-500;108.12
B;kE14E15;200-500;200-500;500-1000;55.56
B;kE14E15;200-500;500-1000;<50;72.59
B;kE14E15;200-500;500-1000;50-100;85.35
B;kE14E15;200-500;500-1000;100-200;78.35
B;kE14E15;200-500;500-1000;200-500;78.71
B;kE14E15;200-500;500-1000;500-1000;115.88
B;kE14E15;200-500;500-1000;1000-5000;139.53
B;kE14E15;200-500;1000-5000;100-200;35.42
B;kE14E15;200-500;1000-5000;200-500;71.29
B;kE14E15;200-500;1000-5000;500-1000;94.01
B;kE14E15;200-500;1000-5000;1000-5000;138.45
B;kE14E15;500-1000;1000-5000;100-200;22.78
B;kE14E15;500-1000;1000-5000;200-500;29.38
B;kE14E15;500-1000;1000-5000;500-1000;115.54
B;kE14E15;500-1000;1000-5000;1000-5000;62.04
B;kE16;<50;50-100;<50;127.54
B;kE16;<50;50-100;50-100;152.8
B;kE16;<50;50-100;100-200;196.15
B;kE16;<50;50-100;200-500;232.41
B;kE16;<50;100-200;<50;104.08
B;kE16;<50;100-200;50-100;109.48
B;kE16;<50;100-200;100-200;152.05
B;kE16;<50;100-200;200-500;196.59
B;kE16;<50;100-200;500-1000;414.18
B;kE16;<50;200-500;<50;65.28
B;kE16;<50;200-500;50-100;154.18
B;kE16;<50;200-500;100-200;138.35
B;kE16;<50;200-500;200-500;182.86
B;kE16;<50;200-500;500-1000;461.24
B;kE16;<50;500-1000;200-500;116.23
B;kE16;<50;500-1000;500-1000;233.0
B;kE16;50-100;50-100;200-500;160.03
B;kE16;50-100;100-200;<50;108.55
B;kE16;50-100;100-200;50-100;98.32
B;kE16;50-100;100-200;100-200;145.36
B;kE16;50-100;100-200;200-500;166.66
B;kE16;50-100;200-500;<50;78.15
B;kE16;50-100;200-500;50-100;81.75
B;kE16;50-100;200-500;100-200;100.15
B;kE16;50-100;200-500;200-500;140.7
B;kE16;50-100;200-500;500-1000;210.42
B;kE16;50-100;200-500;1000-5000;329.51
B;kE16;50-100;500-1000;50-100;49.45
B;kE16;50-100;500-1000;100-200;91.91
B;kE16;50-100;500-1000;200-500;159.94
B;kE16;50-100;500-1000;500-1000;246.56
B;kE16;50-100;1000-5000;100-200;261.47
B;kE16;50-100;1000-5000;200-500;188.82
B;kE16;50-100;1000-5000;500-1000;233.88
B;kE16;100-200;50-100;100-200;71.99
B;kE16;100-200;50-100;200-500;114.55
B;kE16;100-200;100-200;<50;33.48
B;kE16;100-200;100-200;50-100;70.52
B;kE16;100-200;100-200;100-200;121.66
B;kE16;100-200;100-200;200-500;45.07
B;kE16;100-200;100-200;500-1000;140.88
B;kE16;100-200;200-500;<50;75.6
B;kE16;100-200;200-500;50-100;69.91
B;kE16;100-200;200-500;100-200;75.45
B;kE16;100-200;200-500;200-500;112.59
B;kE16;100-200;200-500;500-1000;157.47
B;kE16;100-200;200-500;1000-5000;200.47
B;kE16;100-200;500-1000;<50;66.28
B;kE16;100-200;500-1000;50-100;56.71
B;kE16;100-200;500-1000;100-200;70.61
B;kE16;100-200;500-1000;200-500;93.51
B;kE16;100-200;500-1000;500-1000;130.33
B;kE16;100-200;500-1000;1000-5000;272.95
B;kE16;100-200;1000-5000;200-500;125.56
B;kE16;100-200;1000-5000;500-1000;151.35
B;kE16;100-200;1000-5000;1000-5000;255.86
B;kE16;200-500;100-200;200-500;101.72
