zona_climatica;periodo;Superficie Utile Riscaldata;Volume Lordo Riscaldato;Superficie Disperdente;EPgl_nren;EPgl_ren;CO2
B;kE10E11;500-1000;1000-5000;500-1000;94.38;22.25;20.62
B;kE10E11;500-1000;1000-5000;1000-5000;97.32;8.95;19.7
B;kE12E13;<50;50-100;<50;125.12;15.33;26.32
B;kE12E13;<50;50-100;50-100;176.3;20.39;37.03
B;kE12E13;<50;50-100;100-200;251.06;27.41;51.88
B;kE12E13;<50;50-100;200-500;460.82;6.13;92.55
B;kE12E13;<50;50-100;500-1000;182.44;0.0;34.21
B;kE12E13;<50;100-200;<50;106.55;15.4;22.79
B;kE12E13;<50;100-200;50-100;125.75;16.3;26.39
B;kE12E13;<50;100-200;100-200;188.62;20.81;39.11
B;kE12E13;<50;100-200;200-500;234.17;20.58;47.5
B;kE12E13;<50;100-200;500-1000;121.9;5.38;25.18
B;kE12E13;<50;200-500;<50;127.14;9.86;26.03
B;kE12E13;<50;200-500;50-100;127.38;20.54;26.74
B;kE12E13;<50;200-500;100-200;170.62;24.27;35.59
B;kE12E13;<50;200-500;200-500;229.65;25.43;46.82
B;kE12E13;<50;200-500;500-1000;353.76;96.03;75.03
B;kE12E13;<50;500-1000;<50;501.87;52.22;108.15
B;kE12E13;<50;500-1000;100-200;149.61;0.0;29.92
B;kE12E13;<50;500-1000;200-500;404.11;12.06;83.09
B;kE12E13;<50;500-1000;500-1000;94.56;8.51;20.18
B;kE12E13;<50;1000-5000;100-200;403.05;97.15;95.04
B;kE12E13;50-100;50-100;<50;85.63;4.71;16.98
B;kE12E13;50-100;50-100;50-100;132.83;4.11;27.17
B;kE12E13;50-100;50-100;100-200;172.37;16.56;36.32
B;kE12E13;50-100;50-100;200-500;159.08;26.25;33.49
B;kE12E13;50-100;100-200;<50;123.46;17.4;26.17
B;kE12E13;50-100;100-200;50-100;114.15;16.26;24.38
B;kE12E13;50-100;100-200;100-200;145.96;16.7;30.68
B;kE12E13;50-100;100-200;200-500;190.15;16.57;39.44
B;kE12E13;50-100;100-200;500-1000;195.74;9.06;39.69
B;kE12E13;50-100;100-200;1000-5000;286.67;69.09;49.85
B;kE12E13;50-100;200-500;<50;110.15;16.89;23.45
B;kE12E13;50-100;200-500;50-100;95.1;12.46;20.12
B;kE12E13;50-100;200-500;100-200;116.89;14.61;24.26
B;kE12E13;50-100;200-500;200-500;169.79;19.82;34.53
B;kE12E13;50-100;200-500;500-1000;279.36;24.51;56.41
B;kE12E13;50-100;200-500;1000-5000;404.51;11.77;80.72
B;kE12E13;50-100;500-1000;<50;46.78;3.19;9.84
B;kE12E13;50-100;500-1000;50-100;161.46;4.28;32.93
B;kE12E13;50-100;500-1000;100-200;138.13;14.81;29.2
B;kE12E13;50-100;500-1000;200-500;212.79;24.94;44.17
B;kE12E13;50-100;500-1000;500-1000;250.23;27.84;51.44
B;kE12E13;50-100;1000-5000;200-500;271.3;19.48;56.49
B;kE12E13;50-100;1000-5000;500-1000;383.55;16.28;79.14
B;kE12E13;50-100;1000-5000;1000-5000;542.36;6.98;109.51
B;kE12E13;100-200;50-100;<50;97.19;23.43;22.93
B;kE12E13;100-200;50-100;100-200;202.82;32.87;46.7
B;kE12E13;100-200;50-100;200-500;138.48;6.56;27.43
B;kE12E13;100-200;100-200;<50;75.34;2.5;15.6
B;kE12E13;100-200;100-200;50-100;105.81;9.66;22.86
B;kE12E13;100-200;100-200;100-200;125.38;11.06;26.46
B;kE12E13;100-200;100-200;200-500;112.64;9.54;23.11
B;kE12E13;100-200;100-200;500-1000;90.37;62.54;19.53
B;kE12E13;100-200;200-500;<50;102.74;18.76;22.0
B;kE12E13;100-200;200-500;50-100;82.23;11.17;17.31
B;kE12E13;100-200;200-500;100-200;89.12;10.24;18.43
B;kE12E13;100-200;200-500;200-500;141.63;16.24;28.92
B;kE12E13;100-200;200-500;500-1000;198.4;15.82;40.78
B;kE12E13;100-200;200-500;1000-5000;298.0;15.73;59.27
B;kE12E13;100-200;500-1000;<50;79.64;13.29;17.23
B;kE12E13;100-200;500-1000;50-100;76.95;10.71;16.19
B;kE12E13;100-200;500-1000;100-200;84.67;9.73;17.57
B;kE12E13;100-200;500-1000;200-500;125.54;17.59;25.6
B;kE12E13;100-200;500-1000;500-1000;162.0;22.16;32.59
B;kE12E13;100-200;500-1000;1000-5000;252.81;29.16;51.89
B;kE12E13;100-200;1000-5000;<50;66.35;0.72;13.32
B;kE12E13;100-200;1000-5000;100-200;117.08;13.55;25.59
B;kE12E13;100-200;1000-5000;200-500;157.63;17.51;32.72
B;kE12E13;100-200;1000-5000;500-1000;220.43;21.84;45.82
B;kE12E13;100-200;1000-5000;1000-5000;370.32;6.15;75.63
B;kE12E13;200-500;100-200;200-500;83.92;7.98;17.97
B;kE12E13;200-500;200-500;50-100;77.34;3.75;14.52
B;kE12E13;200-500;200-500;100-200;105.97;9.27;20.39
B;kE12E13;200-500;200-500;200-500;132.14;10.48;26.9
B;kE12E13;200-500;200-500;500-1000;100.94;0.83;20.31
B;kE12E13;200-500;500-1000;<50;73.34;13.01;15.69
B;kE12E13;200-500;500-1000;50-100;61.26;10.04;12.45
B;kE12E13;200-500;500-1000;100-200;73.39;8.14;15.0
B;kE12E13;200-500;500-1000;200-500;88.86;14.26;18.48
B;kE12E13;200-500;500-1000;500-1000;129.33;23.0;25.85
B;kE12E13;200-500;500-1000;1000-5000;199.01;22.02;39.66
B;kE12E13;200-500;1000-5000;<50;73.12;13.85;16.07
B;kE12E13;200-500;1000-5000;50-100;52.74;7.42;10.96
B;kE12E13;200-500;1000-5000;100-200;64.95;9.69;13.81
B;kE12E13;200-500;1000-5000;200-500;84.59;6.95;17.55
B;kE12E13;200-500;1000-5000;500-1000;112.52;21.14;22.77
